
Theft,860 E. 59th St. (Goldblatt Hospital),4/11/16 9:15 AM to 10:50 AM,Three laptop computers taken from unsecured office,Open
Information / Aggravated Assault,52nd at Lake Park,4/11/16 2:00 PM,Unknown suspect on foot fired several shots striking a vehicle off-campus and fled on foot / Motorist reported no injuries / CPD case HZ221837,CPD
Found Property,6054 S. Drexel,4/11/16 3:50 PM,Individual found 2 shotgun shells in basement of residence / Turned shells over to UCPD for proper disposal,Closed
Injured Person,5800 S. Stony Island (Public Way),4/11/16 4:50 PM,Subject running on sidewalk reported he believed he was struck and knocked to the ground by automatic entry gate at Shapiro Hall / Transported to ER by CFD EMS for evaluation and treatment,Closed
Theft,915 E. 60th St. (Logan Center),3/29/16 to 4/11/16 12:30 PM to 10:00 PM,Two oil paintings taken from room 203,Open
Information / Traffic Crash,6054 S. Drexel,4/12/16 8:25 AM,UC owned vehicle involved in property damage traffic crash on I-57 / ISP report 03-16-05238,Closed
Attempt Theft,1155 E. 57th St. (Alley),4/13/16 11:05 AM,An individual was observed taking 2 pressure valves from a Bob Cat parked in the alley / When confronted subject returned the property / Victim refused prosecution,Ex. Cleared
Theft,970 E. 58th St. (Bookstore),4/13/16 2:10 PM,Unknown subject took a package of gum without paying,Open
Theft,5800 S. Greenwood (Main Quadrangle),4/6/16 to 4/7/16 9:00 PM to 8:00 AM,Four signs were taken from a display in the Main Quad,Open
Assault,1400 E. Midway Pl.,4/14/16 2:20 PM,Passenger in car threw a water bottle at a cyclist / Cyclist not injured,Open

Information,5555 S. Woodlawn (Student Health),4/14/16 4:00 PM,Report of suspicious phone call received by a staff member,Closed
